2026-09-05 12:25:16 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6153
2026-09-05 12:25:16 | INFO | music-sync | Duplicate scan finished: Found 461 clusters (519 duplicate files).
2026-09-05 12:25:16 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6153 audio files.
2026-09-05 12:25:16 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6153
2026-09-05 12:25:16 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6153 audio files.
2026-09-05 12:25:16 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6153
2026-09-05 12:25:16 | INFO | music-sync | Duplicate scan finished: Found 461 clusters (519 duplicate files).
2026-09-05 12:25:16 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:25:16 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:25:16 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6153 audio files.
2026-09-05 12:25:16 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6153
2026-09-05 12:25:16 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:25:16 | INFO | music-sync | ADB discovery found 0 connected ADB device(s).
2026-09-05 12:25:38 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:25:38 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:25:38 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:25:38 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:25:38 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:25:38 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:25:38 | INFO | music-sync | [Central DB] Removed from Hide List: /home/aruncs/Music/128KBPS/Vidyasagar - Ethrayo Janmamaai.mp3
2026-09-05 12:25:39 | INFO | music-sync | [Central DB] Removed from Hide List: /home/aruncs/Music/128KBPS/Vidyasagar - Ethrayo Janmamaai.mp3
2026-09-05 12:25:39 | INFO | music-sync | [Central DB] Removed from Hide List: /home/aruncs/Music/Telegram_NEW/Vidyasagar - Ethrayo Janmamaai.mp3
2026-09-05 12:25:39 | INFO | music-sync | [Central DB] Removed from Hide List: /home/aruncs/Music/Telegram_NEW/Vidyasagar - Ethrayo Janmamaai.mp3
2026-09-05 12:25:39 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6151 audio files.
2026-09-05 12:25:39 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6151
2026-09-05 12:25:39 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6151 audio files.
2026-09-05 12:25:39 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6151
2026-09-05 12:25:39 | INFO | music-sync | Duplicate scan finished: Found 460 clusters (517 duplicate files).
2026-09-05 12:25:39 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6151 audio files.
2026-09-05 12:25:39 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6151
2026-09-05 12:25:39 | INFO | music-sync | Duplicate scan finished: Found 460 clusters (517 duplicate files).
2026-09-05 12:25:39 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:25:39 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:25:39 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6151 audio files.
2026-09-05 12:25:39 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6151
2026-09-05 12:25:39 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:25:39 | INFO | music-sync | ADB discovery found 0 connected ADB device(s).
2026-09-05 12:26:14 | ERROR | music-sync | [Central DB] Error removing from hide list: database is locked
2026-09-05 12:26:39 | ERROR | music-sync | [Central DB] Error removing from hide list: database is locked
2026-09-05 12:28:56 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:28:56 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:28:56 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:28:56 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:28:56 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:28:56 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:29:00 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:29:00 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:29:00 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:29:00 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:29:00 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:29:00 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:29:11 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:29:11 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:29:11 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:29:11 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:29:11 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:29:11 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:30:25 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:25 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:25 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:25 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:25 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:25 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:25 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:25 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:25 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:25 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:30:25 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:25 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:25 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:25 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:25 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:25 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:25 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:25 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:30:25 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:25 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:30:25 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:25 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:30:25 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:30:25 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:30:25 | INFO | music-sync | Duplicate scan finished: Found 459 clusters (516 duplicate files).
2026-09-05 12:30:25 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:30:25 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:30:25 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:30:25 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:30:25 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:30:26 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:26 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:26 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:30:26 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:26 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:26 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:30:26 | INFO | music-sync | ADB discovery found 0 connected ADB device(s).
2026-09-05 12:30:26 | INFO | music-sync | ADB discovery found 0 connected ADB device(s).
2026-09-05 12:30:26 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:30:26 | INFO | music-sync | Scan complete. Total songs loaded & sorted by mtime: 6150
2026-09-05 12:30:26 | INFO | music-sync | Performing live ADB device discovery scan...
2026-09-05 12:30:26 | INFO | music-sync | ADB discovery found 0 connected ADB device(s).
2026-09-05 12:32:36 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:32:36 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:32:36 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:32:36 | INFO | music-sync | Starting song library scan across 1 configured paths...
2026-09-05 12:32:36 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:32:36 | INFO | music-sync | Scanning directory: '/home/aruncs/Music'...
2026-09-05 12:33:18 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
2026-09-05 12:33:18 | INFO | music-sync | Finished scanning '/home/aruncs/Music': Found 6150 audio files.
